code,province,cityEn,cityZh
1000,Beijing,Beijing,北京
1121,Tianjin,Tianjin,天津
1210,Hebei,Shijiazhuang,石家庄
1240,Hebei,Tangshan,唐山
1260,Hebei,Qinhuangdao,秦皇岛
1270,Hebei,Handan,邯郸
1310,Hebei,Xingtai,邢台
1340,Hebei,Baoding,保定
1380,Hebei,Zhangjiakou,张家口
1410,Hebei,Chengde,承德
1430,Hebei,Cangzhou,沧州
1460,Hebei,Langfang,廊坊
1480,Hebei,Hengshui,衡水
1610,Shanxi,Taiyuan,太原
1620,Shanxi,Datong,大同
1650,Shanxi,Yangquan,阳泉
1660,Shanxi,Changzhi,长治
1680,Shanxi,Jincheng,晋城
1690,Shanxi,Shuozhou,朔州
1710,Shanxi,Xinzhou,忻州
1730,Shanxi,Lvliang,吕梁
1750,Shanxi,Jinzhong,晋中
1770,Shanxi,Linfen,临汾
1810,Shanxi,Yuncheng,运城
1910,Inner Mongolia,Hohhot,呼和浩特
1920,Inner Mongolia,Baotou,包头
1930,Inner Mongolia,Wuhai,乌海
1940,Inner Mongolia,Chifeng,赤峰
1960,Inner Mongolia,Hulunbuir,呼伦贝尔
1980,Inner Mongolia,Hinggan,兴安盟
1990,Inner Mongolia,Tongliao,通辽
2000,Shanghai,Shanghai,上海
2010,Inner Mongolia,Xilingol,锡林郭勒盟
2030,Inner Mongolia,Ulanqab,乌兰察布
2050,Inner Mongolia,Ordos,鄂尔多斯
2070,Inner Mongolia,Bayannur,巴彦淖尔
2080,Inner Mongolia,Alxa,阿拉善盟
2210,Liaoning,Shenyang,沈阳
2220,Liaoning,Dalian,大连
2230,Liaoning,Anshan,鞍山
2240,Liaoning,Fushun,抚顺
2250,Liaoning,Benxi,本溪
2260,Liaoning,Dandong,丹东
2270,Liaoning,Jinzhou,锦州
2280,Liaoning,Yingkou,营口
2290,Liaoning,Fuxin,阜新
2310,Liaoning,Liaoyang,辽阳
2320,Liaoning,Panjin,盘锦
2330,Liaoning,Tieling,铁岭
2340,Liaoning,Zhaoyang,朝阳
2360,Liaoning,Huludao,葫芦岛
2410,Jilin,Changchun,长春
2420,Jilin,Jilin,吉林
2430,Jilin,Siping,四平
2440,Jilin,Liaoyuan,辽源
2450,Jilin,Tonghua,通化
2460,Jilin,Baishan,白山
2470,Jilin,Baicheng,白城
2490,Jilin,Yanbian,延边州
2510,Jilin,Songyuan,松原
2610,Heilongjiang,Harbin,哈尔滨
2640,Heilongjiang,Qiqihar,齐齐哈尔
2660,Heilongjiang,Jixi,鸡西
2670,Heilongjiang,Hegang,鹤岗
2680,Heilongjiang,Shuangyashan,双鸭山
2690,Heilongjiang,Daqing,大庆
2710,Heilongjiang,Yichun,伊春
2720,Heilongjiang,Jiamusi,佳木斯
2740,Heilongjiang,Qitaihe,七台河
2750,Heilongjiang,Mudanjiang,牡丹江
2760,Heilongjiang,Suihua,绥化
2780,Heilongjiang,Heihe,黑河
2790,Heilongjiang,Daxing'anling,大兴安岭地区
2900,Shanghai,Shanghai,上海
3010,Jiangsu,Nanjing,南京
3020,Jiangsu,Wuxi,无锡
3030,Jiangsu,Xuzhou,徐州
3040,Jiangsu,Changzhou,常州
3050,Jiangsu,Suzhou,苏州
3060,Jiangsu,Nantong,南通
3070,Jiangsu,Lianyungang,连云港
3080,Jiangsu,Huai'an,淮安
3100,Zhejiang,Hangzhou,杭州
3110,Jiangsu,Yancheng,盐城
3120,Zhejiang,Shaoxing,绍兴
3140,Zhejiang,Jiaxing,嘉兴
3160,Jiangsu,Taizhou,泰州
3180,Jiangsu,Suqian,宿迁
3310,Zhejiang,Hangzhou,杭州
3320,Zhejiang,Ningbo,宁波
3330,Zhejiang,Wenzhou,温州
3350,Zhejiang,Jiaxing,嘉兴
3360,Zhejiang,Huzhou,湖州
3370,Zhejiang,Shaoxing,绍兴
3380,Zhejiang,Jinhua,金华
3410,Zhejiang,Quzhou,衢州
3420,Zhejiang,Zhoushan,舟山
3430,Zhejiang,Lishui,丽水
3450,Zhejiang,Taizhou,台州
3610,Anhui,Hefei,合肥
3620,Anhui,Wuhu,芜湖
3630,Anhui,Bengbu,蚌埠
3640,Anhui,Huainan,淮南
3650,Anhui,Maanshan,马鞍山
3660,Anhui,Huaibei,淮北
3670,Anhui,Tongling,铜陵
3680,Anhui,Anqing,安庆
3710,Anhui,Huangshan,黄山
3720,Anhui,Fuyang,阜阳
3740,Anhui,Suzhou,宿州
3750,Anhui,Chuzhou,滁州
3760,Anhui,Lu'an,六安
3770,Anhui,Xuancheng,宣城
3790,Anhui,Chizhou,池州
3810,Anhui,Bozhou,亳州
3910,Fujian,Fuzhou,福州
3930,Fujian,Xiamen,厦门
3940,Fujian,Putian,莆田
3950,Fujian,Sanming,三明
3970,Fujian,Quanzhou,泉州
3990,Fujian,Zhangzhou,漳州
4010,Fujian,Nanping,南平
4030,Fujian,Ningde,宁德
4050,Fujian,Longyan,龙岩
4210,Jiangxi,Nanchang,南昌
4220,Jiangxi,Jingdezhen,景德镇
4230,Jiangxi,Pingxiang,萍乡
4240,Jiangxi,Jiujiang,九江
4260,Jiangxi,Xinyu,新余
4270,Jiangxi,Yingtan,鹰潭
4280,Jiangxi,Ganzhou,赣州
4310,Jiangxi,Yichun,宜春
4330,Jiangxi,Shangrao,上饶
4350,Jiangxi,Ji'an,吉安
4370,Jiangxi,Fuzhou,抚州
4510,Shandong,Jinan,济南
4520,Shandong,Qingdao,青岛
4530,Shandong,Zibo,淄博
4540,Shandong,Zaozhuang,枣庄
4550,Shandong,Dongying,东营
4560,Shandong,Yantai,烟台
4580,Shandong,Weifang,潍坊
4610,Shandong,Jining,济宁
4630,Shandong,Tai'an,泰安
4650,Shandong,Weihai,威海
4660,Shandong,Binzhou,滨州
4680,Shandong,Dezhou,德州
4710,Shandong,Liaocheng,聊城
4730,Shandong,Linyi,临沂
4750,Shandong,Heze,菏泽
4770,Shandong,Rizhao,日照
4910,Henan,Zhengzhou,郑州
4920,Henan,Kaifeng,开封
4930,Henan,Luoyang,洛阳
4950,Henan,Pingdingshan,平顶山
4960,Henan,Anyang,安阳
4970,Henan,Hebi,鹤壁
4980,Henan,Xinxiang,新乡
5010,Henan,Jiaozuo,焦作
5020,Henan,Puyang,濮阳
5030,Henan,Xuchang,许昌
5040,Henan,Luohe,漯河
5050,Henan,Sanmenxia,三门峡
5060,Henan,Shangqiu,商丘
5080,Henan,Zhoukou,周口
5110,Henan,Zhumadian,驻马店
5130,Henan,Nanyang,南阳
5150,Henan,Xinyang,信阳
